Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,28,13,43.559552,38.666812,41.580928
1,28,14,42.632992,38.029712,40.833164
1,28,15,38.808792,34.076956,37.343668
1,28,16,22.770566,23.080752,8.803606
1,28,17,0,0,0
1,28,18,0,0,0
1,28,19,0,0,0
1,28,20,0,0,0
1,28,21,0,0,0
1,28,22,0,0,0
1,28,23,0,0,0
1,29,0,0,0,0
1,29,1,0,0,0
1,29,2,0,0,0
1,29,3,0,0,0
1,29,4,0,0,0
1,29,5,0,0,0
1,29,6,0,0,0
1,29,7,24.590554,5.8972575,8.3406835
1,29,8,38.153548,30.354932,12.494316
1,29,9,41.913992,23.761316,21.285076
1,29,10,29.469714,39.005256,25.895378
1,29,11,41.714264,38.755488,31.35308
1,29,12,39.871252,31.093036,26.858702
1,29,13,39.631268,39.796304,21.341742
1,29,14,26.137334,39.20464,13.748394
1,29,15,17.075076,25.76008,22.938322
1,29,16,9.365481,27.097264,27.46106
1,29,17,0,0,0
1,29,18,0,0,0
1,29,19,0,0,0
1,29,20,0,0,0
1,29,21,0,0,0
1,29,22,0,0,0
1,29,23,0,0,0
1,30,0,0,0,0
1,30,1,0,0,0
1,30,2,0,0,0
1,30,3,0,0,0
1,30,4,0,0,0
1,30,5,0,0,0
1,30,6,0,0,0
1,30,7,23.789656,0,14.587122
1,30,8,37.738836,3.12969325,3.59104025
1,30,9,40.405576,21.207772,17.863042
1,30,10,42.111928,35.29822,21.150416
1,30,11,42.14838,26.641818,41.966872
1,30,12,41.934976,7.4652595,41.679832
1,30,13,41.646192,14.078204,42.143264
1,30,14,40.77014,27.816818,31.646022
1,30,15,18.318566,24.153092,27.298786
1,30,16,9.202579,1.572091,16.482113
1,30,17,0,0,0
1,30,18,0,0,0
1,30,19,0,0,0
1,30,20,0,0,0
1,30,21,0,0,0
1,30,22,0,0,0
1,30,23,0,0,0
1,31,0,0,0,0
1,31,1,0,0,0
1,31,2,0,0,0
1,31,3,0,0,0
1,31,4,0,0,0
1,31,5,0,0,0
1,31,6,0,0,0
1,31,7,22.848266,0,15.278841
1,31,8,16.261151,3.2154355,36.192684
1,31,9,33.472028,2.922911,42.251376
1,31,10,30.819272,17.178098,32.801684
1,31,11,28.323974,30.781122,37.19048
1,31,12,30.218118,14.758875,33.23081
1,31,13,22.023826,8.0716435,31.560558
1,31,14,23.887368,27.25656,32.77291
